system,revPBE38/def2-QZVP/ORCA
S22x5/01-A,-467.2732379351
S22x5/01-B,-454.0951681741
S22x5/01-0.9,-921.3854390118
S22x5/01-1.0,-921.3880255926
S22x5/01-1.2,-921.3847187228
S22x5/01-1.5,-921.3776452804
S22x5/01-2.0,-921.3716698505
S22x5/02-A,-467.2728450663
S22x5/02-B,-454.0965526805
S22x5/02-0.9,-921.3526034003
S22x5/02-1.0,-921.3676127569
S22x5/02-1.2,-921.3729140252
S22x5/02-1.5,-921.3719259366
S22x5/02-2.0,-921.3703678829
S22x5/03-A,-56.5588381301
S22x5/03-B,-56.5588381178
S22x5/03-0.9,-113.1190839508
S22x5/03-1.0,-113.1208758295
S22x5/03-1.2,-113.1203888942
S22x5/03-1.5,-113.1190647757
S22x5/03-2.0,-113.1180415227
S22x5/04-A,-76.4247405835
S22x5/04-B,-76.4248597908
S22x5/04-0.9,-152.8551034325
S22x5/04-1.0,-152.8563326934
S22x5/04-1.2,-152.8553930964
S22x5/04-1.5,-152.8531380443
S22x5/04-2.0,-152.8511504874
S22x5/05-A,-40.5184580322
S22x5/05-B,-40.5184580501
S22x5/05-0.9,-81.0350608755
S22x5/05-1.0,-81.0364253856
S22x5/05-1.2,-81.0369543694
S22x5/05-1.5,-81.0369341199
S22x5/05-2.0,-81.0369185223
S22x5/06-A,-78.583206009
S22x5/06-B,-78.5832061904
S22x5/06-0.9,-157.1626689873
S22x5/06-1.0,-157.1656359699
S22x5/06-1.2,-157.1666255151
S22x5/06-1.5,-157.1665075268
S22x5/06-2.0,-157.1664177394
S22x5/07-A,-78.5831962255
S22x5/07-B,-77.319400006
S22x5/07-0.9,-155.9028230268
S22x5/07-1.0,-155.9037624359
S22x5/07-1.2,-155.9037869516
S22x5/07-1.5,-155.903222553
S22x5/07-2.0,-155.9027942205
S22x5/08-A,-189.7420645872
S22x5/08-B,-189.7420646462
S22x5/08-0.9,-379.5083886015
S22x5/08-1.0,-379.5111838466
S22x5/08-1.2,-379.5066010024
S22x5/08-1.5,-379.4975252889
S22x5/08-2.0,-379.4896955146
S22x5/09-A,-169.8796864651
S22x5/09-B,-169.8796865439
S22x5/09-0.9,-339.7782016624
S22x5/09-1.0,-339.7809393025
S22x5/09-1.2,-339.7780044033
S22x5/09-1.5,-339.7711626701
S22x5/09-2.0,-339.7648569108
S22x5/10-A,-232.2283138207
S22x5/10-B,-76.4246753438
S22x5/10-0.9,-308.6542642073
S22x5/10-1.0,-308.655561307
S22x5/10-1.2,-308.6556989278
S22x5/10-1.5,-308.6547989455
S22x5/10-2.0,-308.6537840793
S22x5/11-A,-232.2283576323
S22x5/11-B,-56.5588091318
S22x5/11-0.9,-288.7860180918
S22x5/11-1.0,-288.7876790029
S22x5/11-1.2,-288.7882427511
S22x5/11-1.5,-288.7879139637
S22x5/11-2.0,-288.7874017722
S22x5/12-A,-232.2284253379
S22x5/12-B,-40.5184813271
S22x5/12-0.9,-272.7439958058
S22x5/12-1.0,-272.745795989
S22x5/12-1.2,-272.7469234287
S22x5/12-1.5,-272.7470760918
S22x5/12-2.0,-272.7469480064
S22x5/13-A,-232.2284007791
S22x5/13-B,-232.228390044
S22x5/13-0.9,-464.4529756557
S22x5/13-1.0,-464.4555891572
S22x5/13-1.2,-464.4571973688
S22x5/13-1.5,-464.4573418207
S22x5/13-2.0,-464.4570157803
S22x5/14-A,-232.228425018
S22x5/14-B,-232.2284249251
S22x5/14-0.9,-464.4423412604
S22x5/14-1.0,-464.4512423903
S22x5/14-1.2,-464.4556128679
S22x5/14-1.5,-464.4565197501
S22x5/14-2.0,-464.456667931
S22x5/15-A,-232.2282380348
S22x5/15-B,-363.7874577349
S22x5/15-0.9,-596.0140893258
S22x5/15-1.0,-596.0173476586
S22x5/15-1.2,-596.0189473154
S22x5/15-1.5,-596.018290756
S22x5/15-2.0,-596.0169503952
S22x5/16-A,-232.2283364157
S22x5/16-B,-363.7873879749
S22x5/16-0.9,-595.9983592549
S22x5/16-1.0,-596.0087729849
S22x5/16-1.2,-596.0141886785
S22x5/16-1.5,-596.0152820669
S22x5/16-2.0,-596.0155229027
S22x5/17-A,-264.2825865346
S22x5/17-B,-264.2825757178
S22x5/17-0.9,-528.5519224965
S22x5/17-1.0,-528.5614105424
S22x5/17-1.2,-528.5653774678
S22x5/17-1.5,-528.5655151654
S22x5/17-2.0,-528.5652073373
S22x5/18-A,-323.4864441799
S22x5/18-B,-303.6228610033
S22x5/18-0.9,-627.1277805718
S22x5/18-1.0,-627.1304424436
S22x5/18-1.2,-627.1272687882
S22x5/18-1.5,-627.1201119932
S22x5/18-2.0,-627.1138681279
S22x5/19-A,-307.4442176021
S22x5/19-B,-307.444143236
S22x5/19-0.9,-614.8905049958
S22x5/19-1.0,-614.8925606138
S22x5/19-1.2,-614.8930179232
S22x5/19-1.5,-614.8915980013
S22x5/19-2.0,-614.8899329672
S22x5/20-A,-414.7786329346
S22x5/20-B,-414.7786328877
S22x5/20-0.9,-829.5476788531
S22x5/20-1.0,-829.5588595496
S22x5/20-1.2,-829.5615852376
S22x5/20-1.5,-829.5597482813
S22x5/20-2.0,-829.5581611135
S22x5/21-A,-414.7777284739
S22x5/21-B,-414.777728498
S22x5/21-0.9,-829.5803485067
S22x5/21-1.0,-829.5830372805
S22x5/21-1.2,-829.5789060232
S22x5/21-1.5,-829.5702172817
S22x5/21-2.0,-829.5622767434
S22x5/22-A,-232.2283325689
S22x5/22-B,-93.4068152366
S22x5/22-0.9,-325.6373888817
S22x5/22-1.0,-325.6390191588
S22x5/22-1.2,-325.639124633
S22x5/22-1.5,-325.6378611127
S22x5/22-2.0,-325.6363927813
S66x8/01-A,-76.4248636137
S66x8/01-B,-76.4248176348
S66x8/01-090,-152.8555696448
S66x8/01-095,-152.8561267149
S66x8/01-100,-152.8562433573
S66x8/01-105,-152.8560923307
S66x8/01-110,-152.8557831994
S66x8/01-125,-152.8545495881
S66x8/01-150,-152.8527772063
S66x8/01-200,-152.8509205416
S66x8/02-A,-76.4248691204
S66x8/02-B,-115.717333686
S66x8/02-090,-192.1480076098
S66x8/02-095,-192.1487214698
S66x8/02-100,-192.1489292898
S66x8/02-105,-192.1488295978
S66x8/02-110,-192.1485439399
S66x8/02-125,-192.1473027674
S66x8/02-150,-192.1454326219
S66x8/02-200,-192.1434788554
S66x8/03-A,-76.4248769134
S66x8/03-B,-95.8568507209
S66x8/03-090,-172.2902185058
S66x8/03-095,-172.2908312195
S66x8/03-100,-172.2908889838
S66x8/03-105,-172.2906053947
S66x8/03-110,-172.2901251963
S66x8/03-125,-172.2882864793
S66x8/03-150,-172.2856789185
S66x8/03-200,-172.2831134807
