system,MN15-L/def2-QZVP/Turbomole7.5.1
S22x5/01-A,-467.3153928523
S22x5/01-B,-454.1120854391
S22x5/01-0.9,-921.4424573957
S22x5/01-1.0,-921.4473617243
S22x5/01-1.2,-921.4463540089
S22x5/01-1.5,-921.4389062403
S22x5/01-2.0,-921.4311574177
S22x5/02-A,-467.3155552088
S22x5/02-B,-454.112791664
S22x5/02-0.9,-921.4451357003
S22x5/02-1.0,-921.4552167622
S22x5/02-1.2,-921.4454883947
S22x5/02-1.5,-921.4322181976
S22x5/02-2.0,-921.4293311901
S22x5/03-A,-56.5381536541
S22x5/03-B,-56.5381536541
S22x5/03-0.9,-113.0785649319
S22x5/03-1.0,-113.0809797642
S22x5/03-1.2,-113.0803295036
S22x5/03-1.5,-113.078040823
S22x5/03-2.0,-113.0768274085
S22x5/04-A,-76.4070871
S22x5/04-B,-76.4070891024
S22x5/04-0.9,-152.8185036518
S22x5/04-1.0,-152.8207824592
S22x5/04-1.2,-152.820578519
S22x5/04-1.5,-152.8179878454
S22x5/04-2.0,-152.8156832422
S22x5/05-A,-40.4960885459
S22x5/05-B,-40.4960885459
S22x5/05-0.9,-80.9939043747
S22x5/05-1.0,-80.9937194997
S22x5/05-1.2,-80.9924565163
S22x5/05-1.5,-80.9922099828
S22x5/05-2.0,-80.9921792254
S22x5/06-A,-78.5707853503
S22x5/06-B,-78.5707853503
S22x5/06-0.9,-157.1443899729
S22x5/06-1.0,-157.1459471144
S22x5/06-1.2,-157.1431733027
S22x5/06-1.5,-157.1416846942
S22x5/06-2.0,-157.14157712
S22x5/07-A,-78.5707740723
S22x5/07-B,-77.3261666029
S22x5/07-0.9,-155.8979252267
S22x5/07-1.0,-155.8990673167
S22x5/07-1.2,-155.8986663572
S22x5/07-1.5,-155.8976265416
S22x5/07-2.0,-155.8971295221
S22x5/08-A,-189.7403631693
S22x5/08-B,-189.7403631693
S22x5/08-0.9,-379.4998123323
S22x5/08-1.0,-379.505615036
S22x5/08-1.2,-379.5047369637
S22x5/08-1.5,-379.4964534477
S22x5/08-2.0,-379.4868394269
S22x5/09-A,-169.8713069402
S22x5/09-B,-169.8713069402
