system,cam-QTP-02/def2-QZVP/Turbomole
S22x5/01-A,-466.6229731655
S22x5/01-B,-453.503271793
S22x5/01-0.9,-920.1530133987
S22x5/01-1.0,-920.1541762748
S22x5/01-1.2,-920.1479373801
S22x5/01-1.5,-920.1376902834
S22x5/01-2.0,-920.1298499846
S22x5/02-A,-466.6218947119
S22x5/02-B,-453.5043473544
S22x5/02-0.9,-920.12966476
S22x5/02-1.0,-920.1383700284
S22x5/02-1.2,-920.1345499004
S22x5/02-1.5,-920.1291564928
S22x5/02-2.0,-920.127207267
S22x5/03-A,-56.4698761629
S22x5/03-B,-56.4698761629
S22x5/03-0.9,-112.9453529744
S22x5/03-1.0,-112.9459267679
S22x5/03-1.2,-112.9439315609
S22x5/03-1.5,-112.9415485599
S22x5/03-2.0,-112.9403069499
S22x5/04-A,-76.3443774852
S22x5/04-B,-76.344441803
S22x5/04-0.9,-152.6990965225
S22x5/04-1.0,-152.6993040647
S22x5/04-1.2,-152.6966543106
S22x5/04-1.5,-152.6930046274
S22x5/04-2.0,-152.6904629658
S22x5/05-A,-40.4221196281
S22x5/05-B,-40.4221196281
S22x5/05-0.9,-80.8448850285
S22x5/05-1.0,-80.8449348756
S22x5/05-1.2,-80.844402775
S22x5/05-1.5,-80.8442455802
S22x5/05-2.0,-80.8442402754
S22x5/06-A,-78.4259805186
S22x5/06-B,-78.4259805186
S22x5/06-0.9,-156.8532962665
S22x5/06-1.0,-156.8542185941
S22x5/06-1.2,-156.8528284654
S22x5/06-1.5,-156.852058148
S22x5/06-2.0,-156.8519669034
S22x5/07-A,-78.4259654023
S22x5/07-B,-77.1794554951
S22x5/07-0.9,-155.607598503
S22x5/07-1.0,-155.6079087799
S22x5/07-1.2,-155.6070706613
S22x5/07-1.5,-155.6060886367
S22x5/07-2.0,-155.6056193405
S22x5/08-A,-189.5416130121
S22x5/08-B,-189.5416130121
S22x5/08-0.9,-379.1182403597
S22x5/08-1.0,-379.1197229343
S22x5/08-1.2,-379.1122061022
S22x5/08-1.5,-379.0995965258
S22x5/08-2.0,-379.089342258
