system,HSE03/def2-QZVP/ORCA5.0.1
S22x5/01-A,-467.8031439911
S22x5/01-B,-454.5987650951
S22x5/01-0.9,-922.4242695092
S22x5/01-1.0,-922.425987854
S22x5/01-1.2,-922.4210055653
S22x5/01-1.5,-922.4123218225
S22x5/01-2.0,-922.4054200222
S22x5/02-A,-467.8026255834
S22x5/02-B,-454.5998929715
S22x5/02-0.9,-922.3949387183
S22x5/02-1.0,-922.406639959
S22x5/02-1.2,-922.4082205629
S22x5/02-1.5,-922.4053212238
S22x5/02-2.0,-922.4034593839
S22x5/03-A,-56.6327497806
S22x5/03-B,-56.6327497808
S22x5/03-0.9,-113.2692280993
S22x5/03-1.0,-113.2702128467
S22x5/03-1.2,-113.2690544382
S22x5/03-1.5,-113.2672052483
S22x5/03-2.0,-113.2660363548
S22x5/04-A,-76.5027668814
S22x5/04-B,-76.5028115832
S22x5/04-0.9,-153.0133688081
S22x5/04-1.0,-153.0140907525
S22x5/04-1.2,-153.0122970283
S22x5/04-1.5,-153.0094128945
S22x5/04-2.0,-153.0071439374
S22x5/05-A,-40.5876973212
S22x5/05-B,-40.5876973212
S22x5/05-0.9,-81.1747346486
S22x5/05-1.0,-81.1755493641
S22x5/05-1.2,-81.1755560875
S22x5/05-1.5,-81.1754158214
S22x5/05-2.0,-81.1753957102
S22x5/06-A,-78.696017685
S22x5/06-B,-78.6960176849
S22x5/06-0.9,-157.3907342159
S22x5/06-1.0,-157.3927064802
S22x5/06-1.2,-157.3926824753
S22x5/06-1.5,-157.392163292
S22x5/06-2.0,-157.3920411333
S22x5/07-A,-78.6960083073
S22x5/07-B,-77.4187791623
S22x5/07-0.9,-156.1163102854
S22x5/07-1.0,-156.1168069285
S22x5/07-1.2,-156.1163031803
S22x5/07-1.5,-156.1154623894
S22x5/07-2.0,-156.1149800099
S22x5/08-A,-189.9303603719
S22x5/08-B,-189.9303603717
S22x5/08-0.9,-379.8897056664
S22x5/08-1.0,-379.8920577602
S22x5/08-1.2,-379.8860974619
S22x5/08-1.5,-379.8753503507
S22x5/08-2.0,-379.8665073337
